"seqnames","start","end","name","a","nsites"
"1",17913953,18153014,"1_17913953_18153014",0.128516232698917,4
"1",19180705,19413315,"1_19180705_19413315",-0.0579313788473844,11
"1",19487409,19504237,"1_19487409_19504237",1.94289029309402e-16,5
"1",19549116,19578003,"1_19549116_19578003",0.0652817787222912,8
"1",19633806,19981928,"1_19633806_19981928",-0.035875718831661,10
"1",19992245,20224155,"1_19992245_20224155",0.0115581603627511,4
"1",20469937,20977184,"1_20469937_20977184",-0.135666991482719,10
"1",20978870,21036321,"1_20978870_21036321",0.0570537279770592,5
"1",21267982,21586885,"1_21267982_21586885",-0.0362680809698268,6
"1",21599190,21902417,"1_21599190_21902417",0.0705598448686038,4
"1",21903013,22032330,"1_21903013_22032330",0.19490630419696,4
"1",22150797,22173985,"1_22150797_22173985",-0.0219606930560745,7
"1",22174180,22203145,"1_22174180_22203145",-0.00927234380526298,7
"1",22205068,22310323,"1_22205068_22310323",-0.165264043826962,5
"1",22827983,22923969,"1_22827983_22923969",-0.0094768482272922,6
"1",22927152,23240063,"1_22927152_23240063",-0.00483642209669446,6
"1",23356960,23637559,"1_23356960_23637559",0.0458325811605632,8
"1",24143964,24400759,"1_24143964_24400759",-0.0619373295215618,12
"1",24401807,24449913,"1_24401807_24449913",0.0193328787300911,8
"1",24680862,24841057,"1_24680862_24841057",-0.04763323800739,7
"1",25824753,26127651,"1_25824753_26127651",-0.0552404045325795,8
"1",26510218,26570809,"1_26510218_26570809",0.0519420805116389,10
"1",26581660,26624553,"1_26581660_26624553",0.106045694587579,6
"1",26627415,26695062,"1_26627415_26695062",0.0679547610313319,13
"1",27680202,27699754,"1_27680202_27699754",-0.0942222385430609,4
"1",28384503,28607313,"1_28384503_28607313",-0.10857774473453,7
"1",31188002,31425210,"1_31188002_31425210",-0.0356617704515995,6
"1",31744224,31898760,"1_31744224_31898760",-0.04884323028062,11
"1",32165640,32259836,"1_32165640_32259836",-0.0709085622055513,6
"1",33138390,33263444,"1_33138390_33263444",2.91433543964104e-16,4
"1",33623852,33836186,"1_33623852_33836186",0.00995122898412799,7
"1",34088968,34204935,"1_34088968_34204935",0.0139571419214334,5
"1",34208879,35223753,"1_34208879_35223753",0.0389373152443749,6
"1",36937032,37337970,"1_36937032_37337970",1.80411241501588e-16,5
"1",37346233,38027846,"1_37346233_38027846",0.104960889555181,4
"1",38030625,38080005,"1_38030625_38080005",0.112733012363549,4
"1",38082154,38189044,"1_38082154_38189044",-0.0403596991346865,11
"1",38322921,38406470,"1_38322921_38406470",0.0078133832678064,6
"1",38409466,38463804,"1_38409466_38463804",-0.0272688039307013,8
"1",40034472,40207081,"1_40034472_40207081",-0.0808124197248329,5
"1",40208886,40349163,"1_40208886_40349163",-0.0725809655679267,5
"1",40697187,40775663,"1_40697187_40775663",0.026445201094092,4
"1",40775781,40945160,"1_40775781_40945160",0.095950928402732,6
"1",41463064,41541123,"1_41463064_41541123",0.010477829182068,6
"1",41578953,42645496,"1_41578953_42645496",0.0543931948721547,6
"1",43915772,44071114,"1_43915772_44071114",0.0649818096304567,8
"1",44071198,44128758,"1_44071198_44128758",0.00996445562033819,12
"1",44475635,44778900,"1_44475635_44778900",-0.00560668902034642,5
"1",45473910,45486460,"1_45473910_45486460",0.0233843896895498,6
"1",46034155,46087156,"1_46034155_46087156",0.00860201871212191,5
"1",46087308,46193470,"1_46087308_46193470",0.0372062168142195,4
"1",46195284,46495239,"1_46195284_46495239",0.19654756681304,5
"1",46495501,46597624,"1_46495501_46597624",0.00689558556392251,6
"1",47283635,47504438,"1_47283635_47504438",-0.105729500055734,9
"1",54678172,55070102,"1_54678172_55070102",-0.0547932533313768,4
"1",55070747,55139824,"1_55070747_55139824",-0.00644857267043886,9
"1",55144413,55199383,"1_55144413_55199383",-0.0561722708508783,6
"1",55340764,55537597,"1_55340764_55537597",0.0806662366197159,11
"1",55637227,57202820,"1_55637227_57202820",-0.0886385897409787,6
"1",57206368,57395231,"1_57206368_57395231",0.0179506079502301,5
"1",57537954,59137630,"1_57537954_59137630",0.0411600127863592,6
"1",62503647,62734177,"1_62503647_62734177",0.0529300633832154,10
"1",64036690,64669799,"1_64036690_64669799",0.042922455615987,9
"1",65854937,66067643,"1_65854937_66067643",0.103304999855542,6
"1",66070719,66827476,"1_66070719_66827476",0.0132783399442887,5
"1",71327725,72241980,"1_71327725_72241980",-0.00864111527999393,4
"1",76253180,76344813,"1_76253180_76344813",0.0324685302088873,8
"1",79128387,82431867,"1_79128387_82431867",-0.0698861029119613,16
"1",84815312,84992056,"1_84815312_84992056",0.108256822887121,5
"1",85009581,85135576,"1_85009581_85135576",0.0115404866907322,4
"1",85563250,85724405,"1_85563250_85724405",3.88578058618805e-16,5
"1",86173310,86308076,"1_86173310_86308076",0.0556879688354716,6
"1",86313346,86515860,"1_86313346_86515860",-0.113346406797755,4
"1",86852596,86948065,"1_86852596_86948065",-0.0123418361289858,4
"1",86951024,87041282,"1_86951024_87041282",-0.00501920734448856,6
"1",87043583,87380843,"1_87043583_87380843",0.0991257512331217,4
"1",87538615,89271700,"1_87538615_89271700",0.00461314723327395,7
"1",89427062,89523917,"1_89427062_89523917",0.118622466944897,6
"1",89524522,89616258,"1_89524522_89616258",0.202215360883384,6
"1",90463667,91727949,"1_90463667_91727949",-0.0431951050037256,4
"1",91728036,91818208,"1_91728036_91818208",0.0598792898633325,8
"1",91981349,92428503,"1_91981349_92428503",0.00919179726762741,10
"1",92944143,93202184,"1_92944143_93202184",-8.32667268468867e-17,4
"1",93257899,93592856,"1_93257899_93592856",-0.111577815728846,4
"1",93594833,93677818,"1_93594833_93677818",-0.0160672384884926,5
"1",93680298,93965140,"1_93680298_93965140",0.0491222715513241,4
"1",94520665,94645513,"1_94520665_94645513",-0.0831314098991589,9
"1",97243390,98039526,"1_97243390_98039526",0.0809664233981603,4
"1",100194047,100346351,"1_100194047_100346351",-0.0698539542558654,10
"1",100346630,100387207,"1_100346630_100387207",0.0436051369900445,4
"1",101704539,103381240,"1_101704539_103381240",-0.0730000433475905,7
"1",103385865,103471447,"1_103385865_103471447",3.46944695195361e-16,5
"1",109172208,109276154,"1_109172208_109276154",0.0106120804713522,6
"1",109280115,109359799,"1_109280115_109359799",0.00666301052592616,5
"1",109363165,109446876,"1_109363165_109446876",-0.0335821195831443,6
"1",109533874,109707313,"1_109533874_109707313",-0.0378371344752881,6
"1",109808355,109824682,"1_109808355_109824682",-0.0846910962287175,6
"1",109825138,109890154,"1_109825138_109890154",-0.00271024443558323,8
"1",109896987,110030426,"1_109896987_110030426",-0.0183541075092154,7
"1",110918078,111437023,"1_110918078_111437023",-0.0184737874822294,8
"1",111726082,111778775,"1_111726082_111778775",-0.060704715908095,4
"1",111781370,111959080,"1_111781370_111959080",0.0356379889221087,12
"1",112002077,112251857,"1_112002077_112251857",-0.0163692048006941,6
"1",112998551,113153625,"1_112998551_113153625",0.0507648991993668,4
"1",113159433,113238196,"1_113159433_113238196",0.115132742562144,5
"1",113238768,113255653,"1_113238768_113255653",0.0859267172764551,7
"1",114399168,114449783,"1_114399168_114449783",0.0363901038141908,5
"1",115005724,115147652,"1_115005724_115147652",0.0996841689633002,5
"1",116206280,116563506,"1_116206280_116563506",-0.0535471061706387,6
"1",117544438,117629144,"1_117544438_117629144",0.0379771033855132,9
"1",117712727,118430396,"1_117712727_118430396",-0.0247026168156824,4
"1",119427353,119965243,"1_119427353_119965243",-0.0230969628761615,6
"1",120050098,120296009,"1_120050098_120296009",-0.0187438132074477,4
"1",120298048,120438959,"1_120298048_120438959",0.0120797127206263,11
"1",120457927,120493460,"1_120457927_120493460",0.00447432985853673,7
"1",144816471,144879563,"1_144816471_144879563",0.339910259767506,6
"1",144930582,145414878,"1_144930582_145414878",0.302894516809753,6
"1",145532755,145541915,"1_145532755_145541915",0.0576227835105317,6
"1",145542211,145581564,"1_145542211_145581564",0.0435681145185866,7
"1",145771633,146726631,"1_145771633_146726631",0.0150611767617667,18
"1",146727466,146767190,"1_146727466_146767190",0.0351467185802604,4
"1",148004546,149881123,"1_148004546_149881123",0.218539378387034,5
"1",149881351,149905591,"1_149881351_149905591",-0.11339244704188,5
"1",149905746,150040821,"1_149905746_150040821",0.0312649387935624,6
"1",150246488,150315928,"1_150246488_150315928",-0.104598708996513,4
"1",150316636,150464138,"1_150316636_150464138",0.0282094245300403,4
"1",150599806,150737239,"1_150599806_150737239",0.0660107349859173,5
"1",150923839,150956545,"1_150923839_150956545",0.0981350277208816,7
"1",150956755,150991145,"1_150956755_150991145",-0.0254463364267797,5
"1",150997085,151063049,"1_150997085_151063049",2.4980018054066e-16,4
"1",151638407,151735643,"1_151638407_151735643",-0.0134087191174256,5
"1",151739196,151785533,"1_151739196_151785533",-0.00718579750996488,8
"1",152005136,152595579,"1_152005136_152595579",-0.0474287319543176,8
"1",152636580,153043315,"1_152636580_153043315",-0.0622617811879933,7
"1",153066007,153330909,"1_153066007_153330909",0.0484428582676424,4
"1",154426962,154523968,"1_154426962_154523968",-0.015735957023873,7
"1",154942506,154999191,"1_154942506_154999191",0.018326134178006,5
"1",155001707,155019788,"1_155001707_155019788",-0.0666269783165246,5
"1",155033237,155145368,"1_155033237_155145368",1.66533453693773e-16,4
"1",155145695,155169904,"1_155145695_155169904",-0.048118412117584,4
"1",156144875,156222295,"1_156144875_156222295",0.13720316176538,4
"1",156316557,156452432,"1_156316557_156452432",0.0133914034812585,15
"1",156453029,156514264,"1_156453029_156514264",0.00465385676965109,5
"1",156517863,156552226,"1_156517863_156552226",0.0546587942389644,8
"1",156594141,156694140,"1_156594141_156694140",0.0069491239608204,7
"1",156845870,156884590,"1_156845870_156884590",-0.011761759641637,9
"1",157062439,157516987,"1_157062439_157516987",0.0310357086972214,6
"1",157522120,157667709,"1_157522120_157667709",-0.103748984738985,10
"1",157668172,157772454,"1_157668172_157772454",-0.127446948954845,10
"1",158325615,158596012,"1_158325615_158596012",-0.0806439089617902,32
"1",158596627,158623215,"1_158596627_158623215",-0.0464667574627187,5
"1",158669466,158985777,"1_158669466_158985777",4.30211422042248e-16,14
"1",159175222,159784082,"1_159175222_159784082",-0.0211084385304328,5
"1",159785216,159858286,"1_159785216_159858286",-0.0793478204137491,5
"1",159906542,160094220,"1_159906542_160094220",-0.0218447352032564,4
"1",160128790,160163637,"1_160128790_160163637",0.0478432540514782,7
"1",160385626,160535535,"1_160385626_160535535",0.0634169064665852,5
"1",160769541,160849204,"1_160769541_160849204",0.0119533565160924,11
"1",160850376,160990863,"1_160850376_160990863",-0.0881532420016083,11
"1",161009708,161029506,"1_161009708_161029506",-0.0336314448195715,6
"1",161039316,161089402,"1_161039316_161089402",0.0496254220650381,5
"1",161143647,161180500,"1_161143647_161180500",-0.0470032728588182,5
"1",161199470,161332330,"1_161199470_161332330",-0.125845017113131,4
"1",161334753,161641439,"1_161334753_161641439",3.46944695195361e-16,4
"1",161642763,161751789,"1_161642763_161751789",0.124750753000529,4
"1",161993045,162372592,"1_161993045_162372592",-0.131019383641296,4
"1",162824553,163309267,"1_162824553_163309267",-0.00822588829989773,4
"1",165324719,165632381,"1_165324719_165632381",0.0234725349652134,7
"1",165634253,165872516,"1_165634253_165872516",0.13002181863903,7
"1",165875156,166896417,"1_165875156_166896417",1.11022302462516e-16,5
"1",166904536,167025086,"1_166904536_167025086",0.0315966197165479,5
"1",167032817,167370793,"1_167032817_167370793",0.0868718217076311,4
"1",167381194,167742605,"1_167381194_167742605",-0.0523700794787626,4
"1",167745299,167829131,"1_167745299_167829131",0.00371544172635717,7
"1",168545874,169279318,"1_168545874_169279318",-0.0498742603365799,10
"1",169489756,169541581,"1_169489756_169541581",-0.0130631605394903,14
"1",169551667,169694942,"1_169551667_169694942",0.0559238423145176,4
"1",170015851,170955851,"1_170015851_170955851",0.0781232130350129,5
"1",171176855,171484998,"1_171176855_171484998",0.0595448537890205,8
"1",171486728,171546776,"1_171486728_171546776",0.0251881567418169,5
"1",175052884,175306815,"1_175052884_175306815",-0.0191869814061586,8
"1",175323525,175958615,"1_175323525_175958615",0.0598680694156482,11
"1",179076851,179314211,"1_179076851_179314211",0.0377493660971562,9
"1",179873099,180022301,"1_179873099_180022301",0.044245860227606,7
"1",180022883,180155317,"1_180022883_180155317",0.00992992587978546,4
"1",182909462,183096539,"1_182909462_183096539",0.0385284104785142,12
"1",183097727,183196051,"1_183097727_183196051",-0.0283929485705382,9
"1",184663195,184767324,"1_184663195_184767324",0.0640349625512339,5
"1",186010143,186056777,"1_186010143_186056777",0.00605808296431878,5
"1",186092081,186140582,"1_186092081_186140582",0.122145012794804,4
"1",186141136,186286732,"1_186141136_186286732",-0.0204036676172875,4
"1",186925232,192335254,"1_186925232_192335254",0.0493176938535271,8
"1",192544921,192998579,"1_192544921_192998579",1.94289029309402e-16,4
"1",197150116,197509201,"1_197150116_197509201",-0.10916467423283,5
"1",198827676,200544819,"1_198827676_200544819",0.0525593853931564,8
"1",202205048,202304882,"1_202205048_202304882",0.0033227689871533,9
"1",202934497,203033131,"1_202934497_203033131",0.0126086808008766,6
"1",203036821,203151980,"1_203036821_203151980",1.66533453693773e-16,4
"1",203152767,203467967,"1_203152767_203467967",-0.00501366632579858,10
"1",203468775,203691817,"1_203468775_203691817",0.0398407697040032,4
"1",204106230,204197989,"1_204106230_204197989",-0.0435025979031449,9
"1",204198063,204396882,"1_204198063_204396882",0.157622380278929,4
"1",204397265,204427002,"1_204397265_204427002",0.132670101164443,7
"1",204429004,204923512,"1_204429004_204923512",0.122293056062204,6
"1",205548877,205693109,"1_205548877_205693109",0.146851000115766,6
"1",205696826,205809451,"1_205696826_205809451",0.0117625165374065,4
"1",205811280,205896416,"1_205811280_205896416",0.00956941027549417,4
"1",207238379,207297711,"1_207238379_207297711",0.0214205119825483,4
"1",207757992,207872619,"1_207757992_207872619",0.0175319667890921,4
"1",207874862,208062966,"1_207874862_208062966",-0.0656898360519457,6
"1",208072316,208225808,"1_208072316_208225808",-0.0151801020047656,8
"1",208227764,209779019,"1_208227764_209779019",1.94289029309402e-16,5
"1",209803958,209946364,"1_209803958_209946364",0.068653728823566,7
"1",209948692,210008508,"1_209948692_210008508",-0.0217526760748231,7
"1",210010144,210560925,"1_210010144_210560925",0.0528274806735125,4
"1",210573810,211444651,"1_210573810_211444651",0.0194287286238783,5
"1",211447550,211654757,"1_211447550_211654757",0.0105376519521187,5
"1",212532026,212870407,"1_212532026_212870407",-0.101729697487437,6
"1",212911748,213046160,"1_212911748_213046160",0.0738037312632244,4
"1",213058633,213189013,"1_213058633_213189013",0.0961762852987297,4
"1",214491420,214571344,"1_214491420_214571344",-0.0252101010404299,7
"1",216348578,216595678,"1_216348578_216595678",0.00279187559852958,6
"1",217856598,219347323,"1_217856598_219347323",-0.0720542561294114,8
"1",220386227,220928462,"1_220386227_220928462",0.0284467092835079,11
"1",223165353,223940658,"1_223165353_223940658",-0.0532686728228187,9
"1",225718254,226044439,"1_225718254_226044439",0.0195865525828077,9
"1",226044609,226110083,"1_226044609_226110083",-0.0503071522626488,8
"1",226413206,226555309,"1_226413206_226555309",0.0144926359603987,5
"1",226555898,226825451,"1_226555898_226825451",0.0640966587815632,8
"1",226827256,227171936,"1_226827256_227171936",0.0454297698256183,4
"1",227172247,227261713,"1_227172247_227261713",-0.01506948956461,7
"1",227842035,228285714,"1_227842035_228285714",-0.00823318547211465,7
"1",229745851,230386306,"1_229745851_230386306",0.0198828437223127,9
"1",230805100,230903455,"1_230805100_230903455",0.133132090316628,9
"1",233497797,234527491,"1_233497797_234527491",0.0424539724730313,8
"1",234528160,234593502,"1_234528160_234593502",-0.0780727644694968,15
"1",235613519,235856786,"1_235613519_235856786",-0.120123521630445,7
"1",235920579,235973834,"1_235920579_235973834",0.0195967776166089,6
"1",235976269,236208983,"1_235976269_236208983",0.0572594713805935,6
"1",236211988,236433294,"1_236211988_236433294",-0.0986979521636818,5
"1",236557743,236719239,"1_236557743_236719239",-0.0384170443234774,4
"1",237780584,237863767,"1_237780584_237863767",0.0922835849709363,4
"1",237955403,238053269,"1_237955403_238053269",0.0223478203414136,5
"1",238053353,240656775,"1_238053353_240656775",0.0406759294109424,15
"1",240939461,241667545,"1_240939461_241667545",0.129868117121675,4
"1",241761046,241964517,"1_241761046_241964517",0.0104954876980208,4
"1",242013726,242271141,"1_242013726_242271141",-0.0109723441511949,9
"1",245245383,246027188,"1_245245383_246027188",0.108510893550842,5
"1",247063365,247320519,"1_247063365_247320519",0.151010973815594,4
"1",247322306,247615284,"1_247322306_247615284",-0.0334985245397109,7
"1",247654428,248129641,"1_247654428_248129641",0.0403975205714286,26
"1",248201568,248845605,"1_248201568_248845605",0.149142356481193,5
"2",45438,677345,"2_45438_677345",0.135690560478974,5
"2",904996,1481376,"2_904996_1481376",0.0100677449531933,6
"2",1488366,1668846,"2_1488366_1668846",4.02455846426619e-16,6
"2",1983493,3502853,"2_1983493_3502853",0.024526535109596,5
"2",3504583,3727584,"2_3504583_3727584",0.0873370645907573,5
"2",9991668,10130875,"2_9991668_10130875",0.0421910205143685,8
"2",10132133,10560261,"2_10132133_10560261",0.0894336993752293,5
"2",10811678,10930959,"2_10811678_10930959",0.0681673498343496,13
"2",10931919,11337831,"2_10931919_11337831",0.029678393069847,7
"2",11426663,11738104,"2_11426663_11738104",-0.0205087989412313,4
"2",11905666,15307447,"2_11905666_15307447",0.110232564933242,7
"2",15319110,16082976,"2_15319110_16082976",-0.00248861744501584,18
"2",17961243,20113469,"2_17961243_20113469",-0.00469111110300691,7
"2",20527069,21237465,"2_20527069_21237465",0.0189487057598267,5
"2",24181183,24283796,"2_24181183_24283796",2.08166817117217e-16,5
"2",24285887,24427287,"2_24285887_24427287",0.0943833629674408,4
"2",25022542,25065253,"2_25022542_25065253",0.111065337395696,4
"2",25095437,25469178,"2_25095437_25469178",0.064560792642786,4
"2",26508273,26625012,"2_26508273_26625012",-0.0352933375028328,5
"2",26637210,26683898,"2_26637210_26683898",0.0397283070516334,4
"2",26707340,26998544,"2_26707340_26998544",0.0224974440763985,4
"2",26999238,27247165,"2_26999238_27247165",-0.0465219268672627,5
"2",27248449,27276441,"2_27248449_27276441",0.0217391483327392,5
"2",27276762,27317479,"2_27276762_27317479",0.00390905137904677,10
"2",28752593,28814627,"2_28752593_28814627",0.0129026545521449,7
"2",28815526,28852052,"2_28815526_28852052",0.176316022029899,4
"2",29225400,29368233,"2_29225400_29368233",-0.212143809288437,5
"2",29375549,29450538,"2_29375549_29450538",-0.0512518248350853,8
"2",31484413,31593344,"2_31484413_31593344",-0.0639200466885221,7
"2",36583434,36806008,"2_36583434_36806008",-0.046804271281667,5
"2",37230683,37287876,"2_37230683_37287876",0.0238838775830606,4
"2",37289080,37349807,"2_37289080_37349807",-0.143724944240511,6
"2",37353430,37442095,"2_37353430_37442095",-0.040185330331569,13
"2",37486724,37599615,"2_37486724_37599615",-0.0183995866421451,8
"2",37599823,38540385,"2_37599823_38540385",0.127548253126758,10
"2",38545675,38959051,"2_38545675_38959051",-0.0177522443920609,4
"2",38960628,39053189,"2_38960628_39053189",-0.0376609347590598,6
"2",39053656,39233670,"2_39053656_39233670",-0.0973431564261027,4
"2",42806245,43458482,"2_42806245_43458482",0.0797112178143891,11
"2",43793835,43937265,"2_43793835_43937265",0.0925159009699569,18
"2",44101544,44175657,"2_44101544_44175657",0.025193874291124,8
"2",44599853,45704214,"2_44599853_45704214",0.00796771225981243,6
"2",45715377,46211819,"2_45715377_46211819",-0.0201042511330696,5
"2",46228541,46608861,"2_46228541_46608861",-0.0307915747645815,4
"2",48925752,50149389,"2_48925752_50149389",-0.095432354770769,5
"2",53941519,54042072,"2_53941519_54042072",0.0397651812394112,4
"2",54045033,54127154,"2_54045033_54127154",0.0116722503589424,7
"2",54128485,54159897,"2_54128485_54159897",0.0399024069440316,4
"2",54161740,54844825,"2_54161740_54844825",0.0848558674591349,7
"2",54880744,55407848,"2_54880744_55407848",-0.0452684038092393,4
"2",55408704,55473597,"2_55408704_55473597",0.0280614343731917,5
"2",55561228,55771505,"2_55561228_55771505",-0.0220321183411734,4
"2",55872482,56102200,"2_55872482_56102200",0.0310591339378898,4
"2",56103756,58362334,"2_56103756_58362334",-0.144425638134671,5
"2",58366799,60988942,"2_58366799_60988942",0.0723562474616818,7
"2",61546306,61647968,"2_61546306_61647968",0.0573368983739294,4
"2",61705953,61749818,"2_61705953_61749818",0.0508840187610552,4
"2",65228580,65480998,"2_65228580_65480998",-0.10801947602551,6
"2",67629992,68400549,"2_67629992_68400549",-0.00512009956054128,7
"2",68401865,68730035,"2_68401865_68730035",0.0229227615875656,10
"2",69752163,70052647,"2_69752163_70052647",0.0510477743491418,6
"2",70900371,71046576,"2_70900371_71046576",-0.0230331133548905,7
"2",71046905,71191995,"2_71046905_71191995",0.0382182559362237,13
"2",71192086,71305638,"2_71192086_71305638",-0.131692829551892,4
"2",71730342,71795468,"2_71730342_71795468",0.0307196890543866,5
"2",73302647,73456698,"2_73302647_73456698",0.095943034047302,8
"2",79253218,79386531,"2_79253218_79386531",0.123447456587315,8
"2",85262137,85571471,"2_85262137_85571471",0.109810075006893,7
"2",85894800,86265980,"2_85894800_86265980",0.106240093697465,8
"2",86705291,86832541,"2_86705291_86832541",-0.00877639940090219,4
"2",88383833,88484998,"2_88383833_88484998",-0.128635803933767,7
"2",88485415,88998062,"2_88485415_88998062",0.0741708044125184,7
"2",88999525,89385268,"2_88999525_89385268",0.111442677572531,4
"2",97751434,98349484,"2_97751434_98349484",-0.0671725672608034,4
"2",98349586,98410016,"2_98349586_98410016",0.0134919329153863,5
"2",99256582,99636945,"2_99256582_99636945",-0.136970061949735,4
"2",99976697,100011346,"2_99976697_100011346",4.44089209850063e-16,5
"2",100013221,100052403,"2_100013221_100052403",0.147878968808783,4
"2",101565827,101627488,"2_101565827_101627488",-0.186139401433952,5
"2",101627911,101883341,"2_101627911_101883341",-0.0600213108347986,4
"2",101885500,102476326,"2_101885500_102476326",0.00960211433488861,7
"2",103343302,105716219,"2_103343302_105716219",0.0385729555145854,4
"2",105858314,106002973,"2_105858314_106002973",0.0258195274075806,4
"2",107073425,108863822,"2_107073425_108863822",0.0350730390038618,5
"2",109526914,110332344,"2_109526914_110332344",0.00962777673143847,4
"2",110927381,111419418,"2_110927381_111419418",4.02455846426619e-16,5
"2",112614189,112755053,"2_112614189_112755053",0.0677079646269739,9
"2",112758776,112854868,"2_112758776_112854868",0.117813906629829,6
"2",113081727,113317151,"2_113081727_113317151",0.0140148163920415,6
"2",113500281,113671431,"2_113500281_113671431",0.157847712264575,6
"2",113672768,113820254,"2_113672768_113820254",-0.0731834523477392,6
"2",113831904,113955211,"2_113831904_113955211",0.102079369782334,5
"2",127447829,128018922,"2_127447829_128018922",-0.00270594413652106,11
"2",128392693,128482017,"2_128392693_128482017",0.0653921778933022,6
"2",128482459,128703133,"2_128482459_128703133",0.0170657309754803,7
"2",128927860,130910457,"2_128927860_130910457",-0.278892252799661,4
"2",131975974,133538802,"2_131975974_133538802",0.107218551786875,4
"2",133539511,135180490,"2_133539511_135180490",0.0461686616908736,11
"2",135694409,135851263,"2_135694409_135851263",0.0331567887729994,5
"2",135960400,136379178,"2_135960400_136379178",-0.04188254198795,6
"2",136505835,136564966,"2_136505835_136564966",-0.0477345769430987,10
"2",136566011,136624298,"2_136566011_136624298",0.054315592610688,6
"2",136626179,137852691,"2_136626179_137852691",0.0342446628021162,9
"2",141283804,141607898,"2_141283804_141607898",1.11022302462516e-16,8
"2",141609219,141819842,"2_141609219_141819842",2.77555756156289e-16,5
"2",152301850,152347032,"2_152301850_152347032",0.197031791460718,4
"2",152432207,152497180,"2_152432207_152497180",-0.0314392612261803,5
"2",152499086,152524425,"2_152499086_152524425",0.043043567881657,6
"2",152527535,152553971,"2_152527535_152553971",0.0575845775435658,7
"2",153504308,153577100,"2_153504308_153577100",0.0294136223778601,4
"2",159490580,160007067,"2_159490580_160007067",0.0934383905071606,4
"2",160239068,160585686,"2_160239068_160585686",0.171010318694442,4
"2",160599570,160688297,"2_160599570_160688297",0.00572628346647945,5
"2",165950882,166020403,"2_165950882_166020403",-0.0926444776130962,4
"2",168074674,169020390,"2_168074674_169020390",0.0590619523028572,9
"2",170059264,170099582,"2_170059264_170099582",-0.0292560123699091,6
"2",170099911,170163907,"2_170099911_170163907",0.00586568329056505,9
"2",170492921,170666933,"2_170492921_170666933",-0.0500955257082553,6
"2",170917826,171249005,"2_170917826_171249005",-0.00839883995372002,6
"2",174945878,175269043,"2_174945878_175269043",-0.0356599341556028,4
"2",176829232,177016794,"2_176829232_177016794",0.119740662910256,4
"2",177017334,178082573,"2_177017334_178082573",2.22044604925031e-16,7
"2",179201026,179301046,"2_179201026_179301046",0.0143214263062279,4
"2",179408926,179441143,"2_179408926_179441143",0.0960508644629327,4
"2",179977449,180348161,"2_179977449_180348161",6.93889390390723e-17,4
"2",183943660,186689207,"2_183943660_186689207",-0.0202093916398527,10
"2",187558899,188225478,"2_187558899_188225478",-0.0147407276419953,14
"2",191931154,192252176,"2_191931154_192252176",0.107455465054717,6
"2",196774749,196912223,"2_196774749_196912223",0.0152280278272866,7
"2",196913018,197118753,"2_196913018_197118753",-0.0968433669677258,8
"2",198257694,198283312,"2_198257694_198283312",-0.0372342917275023,5
"2",201354821,201468820,"2_201354821_201468820",-0.0196478696007277,6
"2",201469417,201524016,"2_201469417_201524016",-0.0975223311373751,4
"2",202195457,202265817,"2_202195457_202265817",0.0214142164418737,8
"2",202272124,202446940,"2_202272124_202446940",-0.0758885839052214,6
"2",202549785,202592001,"2_202549785_202592001",-0.0886639343541717,6
"2",202593233,202700486,"2_202593233_202700486",0.0414830757154416,4
